Name,x,y,z,Color
hsa-miR-875-5p,0.715056051,0.79832541,0.957781182,black
hsa-miR-744,0.719025412,0.988536138,1.17943699,black
hsa-miR-92a-1*,0.731084038,1.059268437,1.242982927,black
hsa-miR-1244,0.736008099,0.833053233,1.152896075,black
hsa-miR-661,0.743243256,0.72795671,0.840235466,black
hsa-miR-586,0.744940289,0.860169999,0.802943183,black
hsa-miR-767-5p,0.746594954,0.768607965,0.883173975,black
hsa-miR-876-5p,0.748355258,1.062483089,1.217981368,black
hsa-miR-653,0.755065808,0.698523196,0.793638014,red
hsa-miR-922,0.75573202,0.862257798,0.978804011,black
hsa-miR-15b*,0.757694167,0.803677322,0.851253435,black
hsa-miR-644,0.767861866,0.884888164,0.988625298,black
hsa-miR-1915,0.769849953,0.899105073,0.937293204,black
hsa-miR-656,0.772870339,0.779261329,0.864973729,black
hsa-miR-648,0.77392541,0.719402763,0.797442593,red
hsa-miR-1303,0.776329656,1.037059302,0.846610897,black
hsa-miR-921,0.776662881,0.893109444,0.986503353,black
hsa-miR-675*,0.777969554,0.93291948,1.028745607,black
hsa-miR-720,0.779738323,0.711292171,0.782574301,red
hsa-miR-647,0.780680415,0.709460043,0.779616621,red
hsa-miR-873,0.785659905,0.828267211,0.904403662,black
hsa-miR-766,0.787789258,0.811927678,0.884165826,black
hsa-miR-579,0.789188476,0.840439203,0.740538351,red
hsa-miR-9,0.790376817,0.9897512,1.074281945,black
hsa-miR-888*,0.79128405,1.044701977,1.132625768,black
hsa-miR-758,0.791983985,1.068920366,1.157858226,black
hsa-miR-646,0.792801732,0.818276086,0.885445229,black
hsa-miR-892b,0.794219058,0.737423223,0.796531471,red
hsa-miR-330-5p,0.794858005,0.891563746,0.852136326,black
hsa-miR-888,0.795147687,0.942560913,1.016922975,black
hsa-miR-645,0.795248872,0.828680887,0.893944781,black
hsa-miR-1266,0.795509041,0.489950687,0.384077278,red
hsa-miR-767-3p,0.799615311,0.998506188,1.071262968,black
hsa-miR-338-3p,0.799727671,0.834228763,0.792481747,red
