"pID","Well","Name","Plate 1",,"treat"
1,"A2","ath-miR416",0.986217915,"c1","c"
1,"B2","cel-miR-243",1.013782085,"c1","c"
1,"G2","hsa-let-7a",1.073574474,"c1","c"
1,"E2","hsa-let-7a",1.080549571,"c1","c"
1,"C2","hsa-let-7a",1.11773608,"c1","c"
1,"F2","hsa-let-7a-2*",1.072103917,"c1","c"
1,"H2","hsa-let-7a*",0.975040969,"c1","c"
1,"D2","hsa-let-7a*",1.087902864,"c1","c"
1,"A3","hsa-let-7b",1.061179009,"c1","c"
1,"B3","hsa-let-7b*",1.11773608,"c1","c"
1,"C3","hsa-let-7c",1.097567167,"c1","c"
1,"D3","hsa-let-7d",1.023278272,"c1","c"
1,"E3","hsa-let-7d*",1.028614639,"c1","c"
1,"F3","hsa-let-7e",1.030295398,"c1","c"
1,"G3","hsa-let-7e*",0.925753198,"c1","c"
1,"H3","hsa-let-7f",0.905836396,"c1","c"
1,"B4","hsa-let-7f",0.981301709,"c1","c"
1,"A4","hsa-let-7f-1*",0.983192549,"c1","c"
1,"C4","hsa-let-7f-2*",0.971763494,"c1","c"
1,"D4","hsa-let-7g",0.978570547,"c1","c"
1,"E4","hsa-let-7g*",0.991260143,"c1","c"
1,"F4","hsa-let-7i",1.030169319,"c1","c"
1,"G4","hsa-let-7i*",1.010168514,"c1","c"
1,"G7","hsa-miR-1",0.997478918,"c1","c"
1,"B9","hsa-miR-1",1.202907717,"c1","c"
1,"H4","hsa-miR-100",0.889953382,"c1","c"
1,"A5","hsa-miR-100*",0.951426529,"c1","c"
1,"C5","hsa-miR-101",1.057985599,"c1","c"
1,"D5","hsa-miR-101",0.991974435,"c1","c"
1,"B5","hsa-miR-101*",1.104458206,"c1","c"
1,"H5","hsa-miR-103a",0.932055967,"c1","c"
1,"E5","hsa-miR-103a",0.960838722,"c1","c"
1,"G5","hsa-miR-103a-2*",1.080213467,"c1","c"
1,"A6","hsa-miR-103b",1.075969533,"c1","c"
1,"F5","hsa-miR-103b",1.00260514,"c1","c"
1,"D6","hsa-miR-105",0.858859626,"c1","c"
1,"B6","hsa-miR-105",0.934156896,"c1","c"
1,"E6","hsa-miR-105*",0.962897614,"c1","c"
1,"C6","hsa-miR-105*",0.92903061,"c1","c"
1,"F6","hsa-miR-106a",0.936005706,"c1","c"
1,"G6","hsa-miR-106a*",0.843060614,"c1","c"
1,"H6","hsa-miR-106b",0.909996207,"c1","c"
1,"A7","hsa-miR-106b*",1.197067074,"c1","c"
1,"B7","hsa-miR-107",1.045590142,"c1","c"
1,"C7","hsa-miR-10a",1.131098011,"c1","c"
1,"D7","hsa-miR-10a*",1.038699095,"c1","c"
1,"E7","hsa-miR-10b",1.056094816,"c1","c"
1,"F7","hsa-miR-10b*",1.126770011,"c1","c"
1,"H7","hsa-miR-1178",1.110508809,"c1","c"
1,"A8","hsa-miR-1179",1.104542264,"c1","c"
1,"B8","hsa-miR-1180",1.082398454,"c1","c"
1,"C8","hsa-miR-1181",1.159880694,"c1","c"
1,"D8","hsa-miR-1182",1.159166402,"c1","c"
1,"E8","hsa-miR-1183",1.095970458,"c1","c"
1,"F8","hsa-miR-1184",1.217698241,"c1","c"
1,"G8","hsa-miR-1185",0.961426928,"c1","c"
1,"H8","hsa-miR-1185",1.083238769,"c1","c"
1,"A9","hsa-miR-1197",1.184839733,"c1","c"
1,"C9","hsa-miR-1200",1.215009043,"c1","c"
1,"D9","hsa-miR-1202",1.056262868,"c1","c"
1,"E9","hsa-miR-1203",1.013151787,"c1","c"
1,"F9","hsa-miR-1204",0.986091828,"c1","c"
1,"G9","hsa-miR-1205",1.168872661,"c1","c"
1,"H9","hsa-miR-1206",1.12916507,"c1","c"
1,"B10","hsa-miR-1207-3p",1.032018129,"c1","c"
1,"A10","hsa-miR-1207-5p",1.022101789,"c1","c"
1,"C10","hsa-miR-1208",1.042228673,"c1","c"
1,"D10","hsa-miR-122*",0.830413047,"c1","c"
