Elapsed,scram_G1,sirna1_H1,scram_G2,sirna1_H2,scram_G3,sirna1_H3,scram_G4,sirna1_H4,scram_G5,sirna1_H5,scram_G6,sirna1_H6,urna_G7,sirna2_H7,urna_G8,sirna2_H8,urna_G9,sirna2_H9,urna_G10,sirna2_H10,urna_G11,sirna2_H11,urna_G12,sirna2_H12
0,22.00248,17.072,21.44852,17.77012,24.15202,20.26117,21.6601,20.09536,22.93233,19.03672,24.92117,18.26505,24.62815,22.17714,25.58554,21.54656,25.28466,22.41827,24.41059,18.27372,25.07764,18.70833,23.46078,18.87568
2,21.67204,17.10806,20.6026,18.13895,23.56845,19.925,21.95609,19.56214,22.65407,18.65849,23.50283,17.67578,23.56343,21.32144,25.28956,21.00486,24.7899,21.66014,23.224,18.17536,24.53066,18.49364,22.858,18.80664
4,20.41155,16.65316,19.6513,18.05142,23.14297,18.76912,20.76726,19.12499,22.22004,17.5727,23.13674,17.00331,22.72401,20.93948,24.12,20.0458,23.65343,20.60263,22.2415,17.53107,23.67051,17.61547,21.69308,17.79709
6.016666667,20.44233,16.1894,19.29159,16.87636,22.75807,18.05822,20.54957,18.86775,21.96898,17.22202,22.82659,17.16736,23.26748,21.01638,24.67638,19.66605,22.81116,19.96713,21.03535,17.64701,22.70937,17.4943,21.66913,17.93993
8,20.88576,15.95083,19.79094,16.77033,23.72758,18.29607,20.7019,18.25096,21.36418,17.35166,23.09702,17.48762,23.38771,21.5697,24.54753,20.16469,22.96654,19.91894,22.04829,17.53378,22.7322,17.83457,22.04995,17.92774
10,20.66981,15.75073,19.79821,16.4069,22.81985,17.98881,20.77613,17.89375,21.59175,16.62782,23.8536,16.886,22.78362,21.01459,24.66092,19.47896,22.85092,19.50312,21.29376,17.21492,21.95839,17.36567,22.59591,17.94585
12,20.74875,14.94798,19.4055,15.3188,22.95588,17.33905,20.14489,17.0866,21.83999,16.51171,22.83995,16.46886,21.90145,21.18672,24.18528,18.62915,23.55974,18.97177,20.98859,17.02308,21.06149,16.98777,21.76613,17.66205
14,20.99468,14.60193,19.54111,14.72906,23.78019,17.43005,20.7408,16.74588,22.27001,16.68962,22.88318,16.34396,21.42226,21.31533,23.24257,18.96123,21.78043,19.62524,20.59775,17.00457,20.92741,16.91522,21.03272,17.51288
16,22.71762,15.60949,21.71922,15.66679,26.36251,18.03511,22.46447,18.06777,24.4415,17.49883,24.88557,17.0069,22.04815,22.68431,23.96144,20.50408,22.92378,20.9457,20.58592,17.42719,22.06221,18.24267,21.5884,18.64191
18,26.59869,17.58736,24.19823,17.24891,30.5492,20.47212,25.82812,21.16265,27.67151,19.83372,28.43242,19.65149,23.92768,25.54784,26.33814,23.55754,24.96206,22.93202,23.04651,19.75537,24.37336,20.76293,23.5939,20.70237
19.98333333,30.14331,20.2505,27.75867,19.03319,36.17977,23.68745,30.75125,24.17956,32.7471,22.30063,33.751,22.46304,27.62834,29.60898,30.32442,26.97051,27.90565,26.86935,25.79919,22.68352,27.28262,23.1767,26.32954,23.41876
22,35.07837,23.54917,32.49333,21.28203,41.53939,26.5195,35.77856,27.77283,37.82821,25.18415,38.96199,26.19738,31.00969,33.39566,33.6468,31.39787,31.9579,30.61419,28.5096,25.89153,31.01982,26.17253,29.92194,27.34188
24,39.47056,26.64646,37.37348,24.44532,46.58693,29.01378,40.6722,31.03098,43.13367,28.40106,43.78605,29.40555,35.26601,37.46371,38.29819,35.72352,35.88689,35.19852,32.32121,28.62198,33.62891,29.53712,34.09632,30.38718
26,44.70226,29.28979,42.07589,27.28951,51.47942,31.73365,45.31415,34.49659,48.60908,31.33998,48.64402,32.10761,39.51931,41.01691,42.74033,39.54282,39.54802,39.17979,36.03448,32.37877,38.73684,32.70084,37.26079,33.85384
28,49.54023,32.2392,46.74256,29.61291,56.30103,34.6006,50.06533,38.1027,53.27382,34.91417,53.52828,35.42119,41.6623,45.24292,45.70958,43.03876,42.33499,43.58732,39.95157,35.87603,41.8657,35.70114,40.76484,37.23174
30.01666667,54.54684,34.46096,51.64484,32.22708,61.58225,37.31014,55.0264,40.96832,58.1244,37.73755,58.49455,37.94841,43.34201,47.96502,48.8347,46.98344,45.09644,47.93447,42.66267,39.08752,44.37484,39.15782,42.10688,40.60415
32,59.60263,36.73383,56.55056,35.14071,67.2393,39.15157,60.77746,43.94602,63.37811,40.96463,63.4353,40.58727,47.2253,51.66104,50.86916,51.1021,47.12949,52.55469,44.35952,41.92072,47.97755,42.05307,44.0508,44.11106
34,63.8744,39.02621,61.58443,37.64385,72.72855,42.58255,65.96837,46.79704,67.45784,44.11665,68.50196,43.43898,50.72092,55.26174,52.71066,55.97476,48.0157,57.40273,47.05864,45.56416,49.44938,45.55898,46.60366,47.00826
36,67.21309,40.99951,65.58319,39.76314,75.38602,43.96154,70.4705,49.41263,71.19995,45.90163,71.8226,44.71245,50.23212,58.15908,53.7825,59.20935,49.64778,61.17155,46.85198,48.38555,49.69563,48.34312,47.10614,50.21564
38,71.21048,42.74622,69.96616,41.87173,79.56311,46.505,74.72642,52.35309,74.2284,47.78965,75.9165,46.74371,52.35541,61.76665,54.46622,62.47623,51.97437,65.21291,47.77011,51.73196,50.65765,51.36724,48.24705,53.40449
40,75.48842,45.78201,73.60938,43.9097,82.47741,49.07056,77.30338,54.69579,77.46301,49.99379,79.43839,48.82873,52.14617,64.68576,55.66879,65.29789,53.58506,68.22813,49.87101,55.26918,53.44546,54.26639,47.52424,56.99317
42,78.07552,48.56334,77.54512,46.26112,84.53185,51.22335,81.659,57.7338,80.54803,51.38211,82.65662,50.48776,54.33239,67.77731,55.93016,67.78854,53.47838,70.96255,51.43136,57.7429,52.11835,58.28396,49.69207,59.41832
43.98333333,80.49218,50.41036,80.06617,48.55606,87.50755,52.65657,84.75125,59.31261,83.48083,53.1275,84.54675,52.53256,53.96584,70.71593,54.67385,70.26761,53.60062,74.07916,50.88042,61.54438,52.36744,61.34926,50.09846,62.69741
46,84.10159,52.73486,83.01848,49.76477,89.43609,54.27346,86.81305,60.26262,85.81953,54.92491,87.63082,53.65212,52.29422,74.40504,54.6437,73.54422,54.93035,76.74715,52.10778,64.30042,51.9706,64.39394,49.58393,65.2283
48,86.71761,53.87564,85.40167,51.19045,91.17007,57.75093,88.7846,61.5277,87.58991,56.96507,89.66232,55.96318,51.72156,76.88097,54.28689,76.3672,54.15252,78.19076,51.56048,66.02965,50.84524,67.58653,49.21507,67.75163
50,88.27525,54.92136,88.24457,52.76297,92.74677,59.18359,90.56077,63.36459,89.96547,58.44498,91.02718,56.94591,50.75542,79.28406,53.60115,80.03605,53.52502,80.41958,51.94799,69.58405,49.7963,69.87414,48.37513,69.81515
52,91.15309,57.46779,90.07355,55.44476,93.70316,60.34141,92.50964,65.37233,92.03371,60.63623,92.80408,57.74867,50.93083,82.07253,53.40297,82.14326,52.90652,83.11864,51.06481,72.62397,50.52156,72.88684,50.03909,72.76694
54.01666667,92.43574,56.99122,91.32361,56.62661,94.91708,61.42522,93.27522,65.48692,93.07405,60.57939,93.77253,58.46514,49.61407,83.13261,52.77219,84.07211,49.92101,84.78427,50.3465,75.45567,47.82476,73.9896,45.87101,74.83237
56,93.36536,58.46383,93.19313,56.7787,95.90617,62.03275,94.08283,65.64168,94.89034,62.0756,95.47295,59.81641,47.68979,84.79906,53.04347,86.48582,50.18651,87.26634,48.26816,77.51709,47.92388,76.21279,46.12782,77.28591
64,96.63328,62.3849,95.38045,59.64639,96.81395,61.82015,96.51395,65.67337,96.84624,60.41689,95.59816,61.89401,44.57409,87.19247,48.66351,91.4341,49.41586,92.47618,46.65813,84.66498,48.47773,83.53289,46.59357,85.04153
66,97.05875,62.16934,95.68861,59.80674,97.23921,61.6476,97.37039,64.1562,97.40736,60.30809,95.98264,61.30624,44.08497,88.26127,47.9087,92.53584,47.54375,93.35715,45.07802,86.11697,47.81461,84.73741,46.82247,86.66908
67.98333333,97.49348,62.74563,96.28806,59.56706,97.94971,61.51405,97.79616,64.50479,97.86547,59.99687,96.69082,61.59969,43.35804,89.01303,47.22242,93.45415,48.18592,94.08469,43.69184,87.37193,47.78331,86.05829,46.35728,87.84548
70,98.05386,61.61936,96.58504,59.3464,98.42085,61.40567,98.38124,63.10057,98.36581,59.72346,97.14864,61.56341,43.08599,90.15718,47.20538,94.24712,46.88047,94.81886,43.77868,88.42561,46.60444,87.02466,47.23997,88.92007
72,98.57226,60.6566,97.17338,59.13119,98.84516,60.80756,98.53848,63.37553,98.79928,59.56566,97.93156,60.22598,42.14043,91.19696,47.66087,94.90596,46.99744,95.28327,43.49957,89.36401,46.24794,87.96954,45.99921,89.9337
