,,,Plate 1,Plate 2,Plate 3,Plate 4,Plate 5,Plate 6
1,A2,ath-miR416,0.986217915,1.054848529,1.002781248,1.029265015,1.072819521,1.007042988
1,B2,cel-miR-243,1.013782085,0.945151471,0.997218752,0.970734985,0.927180479,0.992957012
1,G2,hsa-let-7a,1.073574474,0.773490531,0.880407494,0.914882026,0.966924311,0.928068343
1,E2,hsa-let-7a,1.080549571,0.770603798,0.922996987,1.012898554,0.96044206,0.995390985
1,C2,hsa-let-7a,1.11773608,0.9805245,1.028415382,1.017218353,0.881804373,1.018487864
1,F2,hsa-let-7a-2*,1.072103917,0.840983974,0.935797372,0.908493557,0.972450238,0.951424142
1,H2,hsa-let-7a*,0.975040969,0.801179087,0.967295547,0.901009987,1.031853507,0.963179709
1,D2,hsa-let-7a*,1.087902864,0.763041281,1.003484957,0.89748113,0.782072731,0.963231491
1,A3,hsa-let-7b,1.061179009,1.095832476,1.036557995,1.015758072,1.019845329,1.062351143
1,B3,hsa-let-7b*,1.11773608,0.915673941,1.070301273,1.05999031,0.977710475,0.977006766
1,C3,hsa-let-7c,1.097567167,1.096808272,1.047716366,0.992394742,0.845833003,1.035007803
1,D3,hsa-let-7d,1.023278272,0.768326915,1.024796438,0.9528474,0.706994991,0.956447423
1,E3,hsa-let-7d*,1.028614639,0.770481835,1.05860676,1.001399426,0.93456605,0.985240849
1,F3,hsa-let-7e,1.030295398,0.777841024,1.053613876,0.948649288,0.892590548,0.951268786
1,G3,hsa-let-7e*,0.925753198,0.738320829,1.010655793,0.955767856,0.985042883,0.955359901
1,H3,hsa-let-7f,0.905836396,0.816466795,1.023121059,1.012472614,0.92197332,1.024754022
1,B4,hsa-let-7f,0.981301709,1.169993887,1.04319269,1.029082567,0.886586417,0.866338684
1,A4,hsa-let-7f-1*,0.983192549,0.964098387,1.066849895,1.041920171,0.973619162,0.919782477
1,C4,hsa-let-7f-2*,0.971763494,1.26541987,1.075629171,1.004867344,0.939826203,0.816468157
1,D4,hsa-let-7g,0.978570547,1.167676358,0.880306979,0.985215413,0.728195294,0.984464019
1,E4,hsa-let-7g*,0.991260143,1.115023438,1.057869483,0.990204456,0.86352646,0.881822883
1,F4,hsa-let-7i,1.030169319,1.163773167,1.032704453,0.989535213,0.886905185,0.915225244
1,G4,hsa-let-7i*,1.010168514,1.04647289,1.00539494,1.002433672,0.98854974,0.967892299
1,G7,hsa-miR-1,0.997478918,0.987395859,1.026170279,1.050133923,0.943386149,1.037545339
1,B9,hsa-miR-1,1.202907717,1.085789756,1.071775629,1.083718737,1.089344054,1.136354208
1,H4,hsa-miR-100,0.889953382,1.060744021,0.937271722,0.938427898,0.985255398,0.89487311
1,A5,hsa-miR-100*,0.951426529,0.867859345,1.072177787,0.957653983,0.978666884,1.012946663
1,C5,hsa-miR-101,1.057985599,1.086765679,1.146701095,1.002129525,0.978985662,1.03179701
1,D5,hsa-miR-101,0.991974435,1.090302923,0.970076798,0.944998827,0.800616334,0.921543265
1,B5,hsa-miR-101*,1.104458206,0.971579603,1.079013511,1.031211985,0.957094629,1.009321605
1,H5,hsa-miR-103a,0.932055967,0.959544629,0.997185282,1.006814327,0.975160027,1.009114477
1,E5,hsa-miR-103a,0.960838722,1.12543197,1.033810319,0.94846684,0.951834392,0.880476442
1,G5,hsa-miR-103a-2*,1.080213467,1.070054864,0.964313266,1.051289857,0.998485674,0.94795443
1,A6,hsa-miR-103b,1.075969533,0.956983117,1.168448211,1.080250724,1.027815367,0.983324716
1,F5,hsa-miR-103b,1.00260514,1.037121392,0.981101072,0.998539813,0.939135483,0.986172943
1,D6,hsa-miR-105,0.858859626,0.910185034,0.973293572,1.054514471,0.881804373,1.040911477
1,B6,hsa-miR-105,0.934156896,0.925391378,1.021110455,1.038999797,0.939401172,0.922734361
1,E6,hsa-miR-105*,0.962897614,0.932587957,1.026873981,1.047152612,1.065593376,1.075349588
1,C6,hsa-miR-105*,0.92903061,0.937792226,1.11205308,1.059321067,0.929996532,1.024287975
1,F6,hsa-miR-106a,0.936005706,0.969180756,1.115470995,1.079946483,1.116654666,1.047384773
1,G6,hsa-miR-106a*,0.843060614,0.900345642,1.00857825,1.084570523,1.13243539,0.906007284
1,H6,hsa-miR-106b,0.909996207,0.938890041,0.897999517,1.032550473,1.057623338,1.068565519
1,A7,hsa-miR-106b*,1.197067074,0.981703632,1.171497536,1.09892917,0.950134174,1.11879852
1,B7,hsa-miR-107,1.045590142,1.015938184,0.993331733,1.04204187,0.821338432,0.994562373
1,C7,hsa-miR-10a,1.131098011,1.041837823,1.108534657,1.095704555,0.818628642,1.106835815
1,D7,hsa-miR-10a*,1.038699095,1.034112632,1.075327522,1.017035799,0.825482846,0.977317467
1,E7,hsa-miR-10b,1.056094816,0.966700553,1.112957818,1.015940615,0.875694064,1.148420477
1,F7,hsa-miR-10b*,1.126770011,0.982150871,1.04285767,1.073375554,0.899391578,1.048834778
1,H7,hsa-miR-1178,1.110508809,1.04647289,1.083537186,1.048247796,0.871709013,1.069653041
1,A8,hsa-miR-1179,1.104542264,1.005244952,1.074221761,1.146751013,0.972290812,1.168720911
1,B8,hsa-miR-1180,1.082398454,1.129619916,1.015782662,1.004624041,0.741319317,1.002848238
1,C8,hsa-miR-1181,1.159880694,1.240658645,1.112455244,1.094791913,1.115432653,1.101035704
1,D8,hsa-miR-1182,1.159166402,1.006098792,1.055792039,1.061815582,1.235514473,1.094769546
1,E8,hsa-miR-1183,1.095970458,1.091644657,1.033843789,1.03334151,1.176217372,1.183531843
1,F8,hsa-miR-1184,1.217698241,1.004757058,1.17471431,1.10732537,1.182434019,1.096219551
1,G8,hsa-miR-1185,0.961426928,0.921406823,1.047347777,1.091080597,1.206397296,1.05753499
1,H8,hsa-miR-1185,1.083238769,1.076479039,1.039640791,1.036201028,1.137270513,1.070326225
1,A9,hsa-miR-1197,1.184839733,1.12295183,1.203263779,1.222803637,0.834940576,1.23205593
1,C9,hsa-miR-1200,1.215009043,1.073185579,1.09335529,1.082866939,1.252092085,1.117762862
1,D9,hsa-miR-1202,1.056262868,1.067168188,0.980330424,1.020321269,1.150872656,1.116209201
1,E9,hsa-miR-1203,1.013151787,1.059483588,1.039339247,1.075079139,1.253367356,1.117296733
1,F9,hsa-miR-1204,0.986091828,0.926692457,1.036088892,1.079763928,1.258840109,1.058467084
1,G9,hsa-miR-1205,1.168872661,1.032364306,1.038803098,1.073071312,1.379984507,1.086690818
1,H9,hsa-miR-1206,1.12916507,1.290099667,1.011359502,1.123022681,0.987008863,1.106369768
1,B10,hsa-miR-1207-3p,1.032018129,1.15324249,1.088362406,1.108116313,1.158523915,1.084205064
1,A10,hsa-miR-1207-5p,1.022101789,1.098394052,1.195054121,1.202543224,1.270795124,1.173951329
1,C10,hsa-miR-1208,1.042228673,0.981744278,1.12461886,1.121501651,1.186100217,1.194303463
1,D10,hsa-miR-122*,0.830413047,0.928562747,1.1028047,1.078668839,1.171010298,1.145934722
1,F10,hsa-miR-1224-3p,0.981343738,0.955641383,1.069061422,1.098016622,1.181902725,1.141066787
1,E10,hsa-miR-1224-5p,0.778898268,0.919902415,1.034446982,0.985519572,1.202465408,1.045157938
1,H10,hsa-miR-1225-3p,1.020042833,1.25948366,0.995409276,1.08962041,1.117026618,1.195390985
1,G10,hsa-miR-1225-5p,0.77646118,1.073592236,0.982475012,1.013993738,1.520735337,1.114500277
1,B11,hsa-miR-1226,1.169460939,1.029152282,1.021847732,1.08962041,1.101245979,1.087312293
1,A11,hsa-miR-1226*,1.069792908,1.143687727,1.139128094,1.164273608,1.204962682,1.176437073
1,C11,hsa-miR-1227,1.231480327,1.023134826,1.05864023,1.037235369,1.094710554,1.089694483
1,E11,hsa-miR-1228,1.156771343,0.971782923,1.238883471,0.988440028,1.057038882,1.047540129
1,D11,hsa-miR-1228*,1.118996556,1.03781255,0.972288326,1.059868611,1.054700949,1.049766964
1,F11,hsa-miR-1229,1.215765429,1.045375067,1.174278781,1.023120026,1.197842717,1.042413274
1,G11,hsa-miR-1231,1.1525274,0.93144948,1.172737387,1.056461454,1.132275964,1.094717764
1,H11,hsa-miR-1233,1.191352583,1.188859494,1.108099023,1.110124127,0.684785179,1.156084939
2,A2,ath-miR416,0.992803446,1.05984216,1.006011837,0.975336815,1.005084016,1.026099416
2,B2,cel-miR-243,1.007196554,0.94015784,0.993988163,1.097805479,0.92660377,1.226647404
2,C2,hsa-miR-1234,0.967782803,0.909316213,0.980074681,1.099296015,1.027492377,1.216955479
2,D2,hsa-miR-1236,0.986082025,0.937678849,0.945958774,1.088802202,0.881736247,1.12537933
